sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,bootstrap_mode,n,score_available,target_variance,log_mgas_variance,log_gas_fraction_variance,l3_r2,l3_plus_gas_mass_r2,gas_mass_marginal_r2,l3_plus_gas_fraction_r2,gas_fraction_marginal_r2,l3_plus_all_internal_r2,all_internal_marginal_r2,l3_plus_internal_excluding_gas_r2,internal_excluding_gas_marginal_r2,l3_plus_sfr_r2,sfr_marginal_r2,l3_plus_gas_mass_and_sfr_r2,gas_mass_and_sfr_marginal_r2,dominant_internal_feature,dominant_candidate_feature,carrier_ranking_method,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,gas_fraction_rank_method,sfr_rank,single_marginal__int_log_mstar,single_marginal__int_log_mgas,single_marginal__int_log_sfr,single_marginal__int_log_ssfr,single_marginal__int_log_rstar,single_marginal__int_metallicity,single_marginal__int_log_gas_fraction,gas_mass_marginal_ci_lo,gas_mass_marginal_ci_hi,all_internal_marginal_ci_lo,all_internal_marginal_ci_hi
full_sample,9.0,10.55,9.775,1.5500000000000007,paired_bootstrap_24,6468,True,0.0615001477300094,0.18690097672683695,0.14704870012786947,0.18503665866922187,0.1910772747263843,0.00604061605716244,0.22109753376876143,0.03606087509953956,0.2725313470169299,0.08749468834770802,0.2711397668854983,0.08610310821627642,0.18731727003488347,0.0022806113656616,0.1909585017567373,0.0059218430875154215,int_log_mstar,int_log_mstar,leave_one_out_drop_from_l3_plus_all_internal,3,0.0013915801314315912,3,single_feature_candidate_marginal,5,0.07042817242072635,0.00604061605716244,0.0022806113656616,0.012440869899713214,0.00010710595531696065,0.05046463139801449,0.03606087509953956,-0.07451488258456032,0.024337451046131643,0.009659107793448283,0.1019845306635737
full_sample,9.0,10.75,9.875,1.75,paired_bootstrap_24,6886,True,0.06336769247338246,0.19805568251977476,0.15698747296824414,0.20928294424517752,0.2123564611611021,0.0030735169159245845,0.2423144413290279,0.03303149708385039,0.30278743274590386,0.09350448850072635,0.3034615792570614,0.0941786350118839,0.21184203878016908,0.002559094534991563,0.21314856363558432,0.003865619390406805,int_metallicity,int_log_mstar,leave_one_out_drop_from_l3_plus_all_internal,6,-0.0006741465111575473,3,single_feature_candidate_marginal,5,0.07721213128740584,0.0030735169159245845,0.002559094534991563,0.010497992332022199,0.0003361620591116887,0.053556372673073616,0.03303149708385039,0.0028421125550965372,0.009232135769367045,0.04378396219889976,0.10589900835130982
full_sample,9.1,10.55,9.825,1.450000000000001,paired_bootstrap_24,5801,True,0.058549502655436875,0.15120055568381838,0.11719472489259378,0.18415040089833296,0.18885061079039114,0.004700209892058188,0.22249567967907452,0.038345278780741565,0.2772683242188896,0.09311792332055663,0.2766921825717346,0.09254178167340166,0.18688020534816024,0.002729804449827289,0.18867826467115442,0.004527863772821467,int_log_mstar,int_log_mstar,leave_one_out_drop_from_l3_plus_all_internal,4,0.0005761416471549707,3,single_feature_candidate_marginal,6,0.07653477702510275,0.004700209892058188,0.002729804449827289,0.013200180681700452,0.00013673896226262805,0.05172020367587976,0.038345278780741565,-0.022606783095046865,0.028484240895658857,-0.0031310360718416843,0.10829556830612552
full_sample,9.1,10.75,9.925,1.6500000000000004,paired_bootstrap_24,6219,True,0.060535811779445704,0.16313470502610775,0.1286329257058196,0.20752710698123433,0.21215625150044018,0.004629144519205847,0.24858425426677613,0.0410571472855418,0.30695270225786114,0.09942559527662681,0.3087321084373419,0.10120500145610756,0.21080077060592303,0.0032736636246886996,0.21290210681500868,0.0053749998337743465,int_log_mstar,int_log_mstar,leave_one_out_drop_from_l3_plus_all_internal,6,-0.001779406179480747,3,single_feature_candidate_marginal,5,0.08408049183491695,0.004629144519205847,0.0032736636246886996,0.011440235746766003,0.0001390944318635512,0.05395907637371783,0.0410571472855418,-0.06668206304591905,0.009739518063346332,0.020730517405252,0.1242886647620163
full_sample,9.2,10.55,9.875,1.3500000000000014,paired_bootstrap_24,5200,True,0.05727339227271425,0.10780888566814728,0.08049730710666028,0.1753568641457904,0.11558217486361091,-0.059774689282179494,0.21525737759804925,0.03990051345225884,0.1842866309726383,0.008929766826847901,0.2690172360078429,0.09366037186205248,0.17886174280451345,0.0035048786587230374,0.06827610819919265,-0.10708075594659776,int_metallicity,int_log_mstar,leave_one_out_drop_from_l3_plus_all_internal,6,-0.08473060503520458,3,single_feature_candidate_marginal,5,0.07812215375785217,-0.059774689282179494,0.0035048786587230374,0.014206098644258786,0.0006577621840019032,0.05054582621148623,0.03990051345225884,-0.10362966600309143,0.054882082233175686,-0.07435757988708433,0.14663239846082685
full_sample,9.2,10.75,9.975,1.5500000000000007,paired_bootstrap_24,5618,True,0.05927850846948138,0.12147253688663229,0.09438494051655781,0.20357439726067045,0.18439295314905804,-0.019181444111612406,0.24889761866939236,0.045323221408721914,0.2620670602103231,0.05849266294965266,0.3062676759190226,0.10269327865835215,0.2079076302431783,0.004333232982507845,0.14516348797599782,-0.05841090928467263,int_log_mstar,int_log_mstar,leave_one_out_drop_from_l3_plus_all_internal,6,-0.04420061570869949,3,single_feature_candidate_marginal,5,0.08485124282914813,-0.019181444111612406,0.004333232982507845,0.012597348516703827,0.0002878502958928719,0.05269243666690837,0.045323221408721914,-0.028977906557623816,0.041762097790584596,0.03589996990952473,0.13358254184930843
full_sample,9.3,10.55,9.925,1.25,paired_bootstrap_24,4611,True,0.053376100139355925,0.07945363766261912,0.05851800276173989,0.1931399832566447,0.24627737668872837,0.05313739343208368,0.32281398358412006,0.12967400032747536,0.3265513760698819,0.1334113928132372,0.29373632455491616,0.10059634129827147,0.19805581134516664,0.004915828088521951,0.2558779805413532,0.0627379972847085,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.03281505151496572,1,single_feature_candidate_marginal,2,0.08147129699512204,0.05313739343208368,0.004915828088521951,0.01530765930529368,0.0013863099889774577,0.05364403010959362,0.12967400032747536,0.042877701786723246,0.0627792885918705,0.1199357145801711,0.14557309667110438
full_sample,9.3,10.75,10.025,1.4499999999999993,paired_bootstrap_24,5029,True,0.055529621792365653,0.09419083478528231,0.07417728097322586,0.2141386290521025,0.25011368524980193,0.03597505619769942,0.3353631051896838,0.1212244761375813,0.3450042167598399,0.13086558770773737,0.32544317225226244,0.11130454320015992,0.21886859584136956,0.004729966789267043,0.25740610581371476,0.043267476761612245,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.019561044507577452,1,single_feature_candidate_marginal,2,0.09074500176256906,0.03597505619769942,0.004729966789267043,0.013306951569821701,0.0011950094630456543,0.056059491628453695,0.1212244761375813,0.03222678480661152,0.04300952094526902,0.1165412179671853,0.1410148911563874
full_sample,9.4,10.55,9.975000000000001,1.1500000000000004,paired_bootstrap_24,4081,True,0.05174238124076803,0.0744538939790057,0.05732183205795938,0.19332269739864835,0.24366584934461769,0.05034315194596933,0.3249932791441245,0.13167058174547616,0.32866037497725087,0.13533767757860252,0.3032843467104101,0.10996164931176175,0.19854071579309762,0.00521801839444927,0.2520977908027483,0.05877509340409995,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.025376028266840767,1,single_feature_candidate_marginal,2,0.0903409919736333,0.05034315194596933,0.00521801839444927,0.016293308937690237,0.0010350135870163257,0.05387574711784501,0.13167058174547616,0.04018546523133413,0.05958795098729423,0.12004390845689226,0.16102463651800536
full_sample,9.4,10.75,10.075,1.3499999999999996,paired_bootstrap_24,4499,True,0.05390453070778267,0.08876573056591133,0.07314207561095092,0.21727086977657165,0.2511772638678685,0.03390639409129684,0.3409469960520666,0.12367612627549493,0.3538450289474745,0.13657415917090285,0.33964151570912193,0.12237064593255029,0.2221285163082638,0.004857646531692156,0.25757751382661775,0.04030664405004611,int_log_mgas,int_log_gas_fraction,leave_one_out_drop_from_l3_plus_all_internal,1,0.01420351323835256,1,single_feature_candidate_marginal,2,0.10243099049366114,0.03390639409129684,0.004857646531692156,0.01347310036897928,0.0012641528653244138,0.05774698818533555,0.12367612627549493,0.027342400483259532,0.04337282479784282,0.12024963636912057,0.1501049022272505
