region,log_mstar_lo,log_mstar_hi,n,resolution_snr_note,log_gas_fraction_n,log_gas_fraction_median,log_gas_fraction_ci_lo,log_gas_fraction_ci_hi,log_ssfr_n,log_ssfr_median,log_ssfr_ci_lo,log_ssfr_ci_hi,log_mgas_n,log_mgas_median,log_mgas_ci_lo,log_mgas_ci_hi,log_sfr_n,log_sfr_median,log_sfr_ci_lo,log_sfr_ci_hi,log_bh_mass_n,log_bh_mass_median,log_bh_mass_ci_lo,log_bh_mass_ci_hi,log_bh_mdot_n,log_bh_mdot_median,log_bh_mdot_ci_lo,log_bh_mdot_ci_hi,quenched_fraction,quenched_fraction_ci_lo,quenched_fraction_ci_hi
below_lower,9.0,9.55,3140,,3140,1.1877508163452148,1.1812370538711547,1.1947295904159545,3140,-9.5414457321167,-9.551295721530915,-9.52914892435074,3140,10.449434757232666,10.442564010620117,10.45829119682312,3140,-0.2754381448030472,-0.2899094376713037,-0.2639033179730177,3126,6.238602051108201,6.234474458317897,6.244027045512336,3126,-5.172755241567414,-5.192708867977054,-5.1481473425015745,0.0025477707006369425,0.0009554140127388535,0.0044585987261146496
window,9.55,10.55,3341,,3341,0.9092817306518555,0.9033242464065552,0.9178981781005859,3341,-9.631258010864258,-9.643345832824707,-9.619892144203186,3341,10.860315322875977,10.848124504089355,10.874032783508301,3341,0.31256774067878723,0.29798173904418945,0.3264140784740448,3338,6.805209626397248,6.7761126119655755,6.839549626777551,3338,-4.016350920641695,-4.090629462797858,-3.9630994205271772,0.03531876683627656,0.02963184675246932,0.04161179287638431
upper_extension,10.55,10.75,418,sample-size decline,418,0.6071109771728516,0.5552430152893066,0.6499004364013672,418,-10.961438655853271,-11.417233669757843,-10.666730880737305,418,11.253295421600342,11.208093547821045,11.292837035655975,418,-0.3476850241422653,-0.7768144384026527,0.031963072717189664,418,8.317083799893243,8.303597169061213,8.327778683012124,418,-4.176258770510302,-4.358078192174222,-3.863628145872812,0.49760765550239233,0.45215311004784686,0.5454545454545454
above_upper,10.75,11.2,357,sample-size decline,357,0.5492372512817383,0.5165596008300781,0.5831203460693359,357,-11.916926383972168,-12.24288558959961,-11.633221626281738,357,11.464603424072266,11.435916900634766,11.4971284866333,357,-0.9814565181732178,-1.3181456327438354,-0.6430032253265381,355,8.513163668251886,8.495782843107438,8.54290504922576,355,-4.215703604129996,-4.367399401555523,-4.112960020577722,0.6834733893557423,0.6358543417366946,0.7282913165266106
