model,feature,importance_mean,importance_p16,importance_p84
ridge,int_log_mstar,0.000625915330425636,0.00037016124035337493,0.0008703374740038905
ridge,int_log_mgas,0.021678171244214173,0.021291992663403064,0.02189046444706781
ridge,int_log_sfr,0.001334545183552166,0.0008844456344009811,0.001945213474738181
ridge,int_log_ssfr,0.0009948798938637093,0.0009043024681883339,0.0011407281911755707
ridge,int_log_rstar,-0.0002147004685537357,-0.0003581123324304869,-0.00017589927402594796
ridge,int_metallicity,0.0003711028397092725,0.00025118494350497846,0.0006164362072850737
random_forest,int_log_mstar,0.019090138627932116,0.01841304559288416,0.020267660828911686
random_forest,int_log_mgas,0.03626095922581063,0.03490289533748115,0.03714104036864228
random_forest,int_log_sfr,-0.0006065805174963468,-0.0022107532261124163,0.0010570752963298432
random_forest,int_log_ssfr,0.00010744180631780398,-0.0005936751194841739,0.0011016900691260556
random_forest,int_log_rstar,-0.0002486080931323742,-0.0009980996100532025,0.0009972765980843998
random_forest,int_metallicity,-0.002125195076450162,-0.003150923517579813,-0.0008637226485899952
hist_gradient_boosting,int_log_mstar,0.023907733689428293,0.021762220816143523,0.025655773859250792
hist_gradient_boosting,int_log_mgas,0.04128456105012458,0.03991015740506588,0.04287151486982814
hist_gradient_boosting,int_log_sfr,0.0024724177488653493,0.0014982444606405475,0.003257858870043906
hist_gradient_boosting,int_log_ssfr,0.004575312900363462,0.0037553067437729837,0.0053750020025311466
hist_gradient_boosting,int_log_rstar,0.0025887501816956593,0.0017690992672202022,0.003291854397920644
hist_gradient_boosting,int_metallicity,-0.0005726658446367772,-0.0022341938407721114,0.0008216591839336828
