model,n,lower_baseline_r2,lower_plus_internal_r2,l3_r2,l3_plus_internal_r2,lower_internal_marginal_r2,l3_internal_marginal_r2,l3_internal_marginal_ci_lo,l3_internal_marginal_ci_hi,absorbed_r2_relative_to_lower_baseline,absorbed_fraction_relative_to_lower_baseline
ridge,3425,0.00531847668975578,0.3111685768128276,0.1849471867271941,0.3204083520488021,0.30585010012307184,0.13546116532160798,0.12551735734626465,0.16115611886029826,0.17038893480146386,0.5570994900210939
random_forest,3425,0.04203929504433934,0.3268246818785051,0.20277057522586284,0.33548120691684746,0.28478538683416577,0.13271063169098463,0.11145281407482142,0.14278015106604244,0.15207475514318114,0.5339977476854746
hist_gradient_boosting,3425,0.04649252461891018,0.3289468755008764,0.20737814191737902,0.3299677203082939,0.28245435088196624,0.12258957839091489,0.10667972527515392,0.14197919054472952,0.15986477249105135,0.5659844572826447
