sample,n,l3_r2,l3_plus_gas_r2,gas_marginal_r2,gas_marginal_ci_lo,gas_marginal_ci_hi,gas_feature_variance,n_removed,n_winsorized
below_full,3132,0.15106631222454148,0.15614587980909697,0.005079567584555494,-0.27947048273737185,0.01047788789022058,0.209351235094622,0,0
below_deletion,3126,0.14685685662952924,0.20762747279576538,0.060770616166236135,0.043393771870500135,0.08180744777148723,0.03484398557498423,6,0
below_winsorize,3132,0.15106631222454148,0.20854482073351982,0.05747850850897834,0.042228641127547956,0.07738668298934044,0.03400418335309859,0,32
onset_full_reference,1289,0.20817948373040984,0.26919618631277487,0.06101670258236502,0.038898680565531765,0.08823517417284524,0.03022310260708007,0,0
