log_mstar_lo,log_mstar_hi,log_mstar_center,n,quenched_fraction,star_forming_fraction,log_gas_fraction_n,log_gas_fraction_p16,log_gas_fraction_median,log_gas_fraction_p84,log_ssfr_n,log_ssfr_p16,log_ssfr_median,log_ssfr_p84,log_mgas_n,log_mgas_p16,log_mgas_median,log_mgas_p84,log_sfr_n,log_sfr_p16,log_sfr_median,log_sfr_p84,log_bh_mass_n,log_bh_mass_p16,log_bh_mass_median,log_bh_mass_p84,log_bh_mdot_n,log_bh_mdot_p16,log_bh_mdot_median,log_bh_mdot_p84,log_wind_mass_n,log_wind_mass_p16,log_wind_mass_median,log_wind_mass_p84
9.0,9.15,9.075,987,0.004052684903748734,0.9959473150962512,987,1.1138439559936524,1.272233009338379,1.4344887161254882,987,-9.740097160339355,-9.520759582519531,-9.302080268859862,987,10.183906135559083,10.34737777709961,10.518565139770509,987,-0.6677841067314148,-0.45252102613449097,-0.21325117111206052,978,6.138310337823766,6.176876999447135,6.265121621937555,978,-5.906997563623329,-5.453827796910172,-4.93199166636171,45,7.268720428104421,7.440058455510745,7.771138943155639
9.15,9.3,9.225000000000001,875,0.004571428571428572,0.9954285714285714,875,1.0432786560058593,1.1987104415893555,1.3751858901977538,875,-9.764470863342286,-9.543317794799805,-9.289396629333496,875,10.266658897399902,10.430074691772461,10.597428779602051,875,-0.544577579498291,-0.3169252872467041,-0.055244982689619096,871,6.174853879942974,6.224712290203235,6.449666900051662,871,-5.638007742270595,-5.192742269193226,-4.726669285780158,47,7.324964431194364,7.440607109778283,7.933640299412491
9.3,9.450000000000001,9.375,787,0.0,1.0,787,0.9845272827148438,1.1407318115234375,1.2902077484130858,787,-9.763473434448242,-9.543736457824707,-9.298028297424317,787,10.36219093322754,10.516457557678223,10.666178855895996,787,-0.39775471210479735,-0.16865889728069305,0.07603943258523942,787,6.210407806710048,6.280149409884091,6.529711226370227,787,-5.417252120261714,-4.965307537658549,-4.349311205194394,58,7.331118535548557,7.453283970173972,7.715839232018839
9.450000000000001,9.600000000000001,9.525000000000002,720,0.0,1.0,720,0.9360071182250976,1.0901284217834473,1.2360333251953124,720,-9.787964286804199,-9.573737621307373,-9.326060905456544,720,10.451838111877441,10.611124992370605,10.76110710144043,720,-0.2589336848258972,-0.04666272923350334,0.19388218820095063,719,6.264838850668247,6.341829631977026,6.618733154585358,719,-5.275411905397832,-4.752297369727716,-4.069234768803194,80,7.234044132742209,7.452886965251935,7.9126043686544225
9.600000000000001,9.750000000000002,9.675,672,0.0,1.0,672,0.8750352478027343,1.0240716934204102,1.1879082107543946,672,-9.798261375427247,-9.580058574676514,-9.34817440032959,672,10.547656059265137,10.701687335968018,10.865858840942384,672,-0.12806879103183746,0.10004459321498871,0.33476565241813655,672,6.305369813496112,6.4816381475044995,6.85908567884225,672,-5.1627269909805875,-4.496372187228875,-3.535285141746921,98,7.26088094734437,7.457033835792084,7.820417515736561
9.750000000000002,9.900000000000002,9.825000000000003,566,0.0,1.0,566,0.7892797470092774,0.9552979469299316,1.1291963577270507,566,-9.83183307647705,-9.592389106750488,-9.346473121643067,566,10.607550811767577,10.767717361450195,10.956825256347656,566,-0.010567874833941445,0.22395971417427063,0.4816447079181671,564,6.34872168133811,6.599163333019891,7.187354341101762,564,-5.2108142229923535,-4.328925374433283,-3.191456639773412,81,7.334645676711164,7.520795161136202,7.9395067839257525
9.900000000000002,10.050000000000002,9.975000000000001,488,0.0,1.0,488,0.7095008850097656,0.8959870338439941,1.0744964218139648,488,-9.846850852966309,-9.618176460266113,-9.38796443939209,488,10.695893898010254,10.863083839416504,11.049699287414551,488,0.11832704216241838,0.35725605487823486,0.5885729241371155,488,6.428335805972148,6.764168414577474,7.558013783505205,488,-5.064155724250825,-3.956513447170342,-2.796085998611332,107,7.271715196056106,7.522834133509589,7.951196638658268
10.050000000000002,10.200000000000003,10.125000000000004,479,0.0,1.0,479,0.6505934906005859,0.8655366897583008,1.056946907043457,479,-9.897220649719237,-9.62695598602295,-9.370958938598633,479,10.779891624450684,10.986651420593262,11.170110778808594,479,0.2089390301704407,0.4894157350063324,0.7488362550735473,479,6.535426332322723,7.094317033551956,7.8172636275409095,479,-4.845370558246741,-3.4779426385169656,-2.5627489224625855,132,7.273550117567048,7.500175078914436,7.955661480919827
10.200000000000003,10.350000000000003,10.275000000000002,364,0.013736263736263736,0.9862637362637363,364,0.5972499847412109,0.7928295135498047,1.0008699798583984,364,-9.956167030334473,-9.67835807800293,-9.380193214416504,364,10.872006072998047,11.07312822341919,11.283920135498047,364,0.29595762729644776,0.6081756055355072,0.9017701435089112,364,6.737885650265566,7.642231994519028,8.026654438465274,364,-4.606095778365331,-2.9985791349963975,-2.370895680846992,110,7.318394071464796,7.643247942096999,8.037224454566479
10.350000000000003,10.500000000000004,10.425000000000004,394,0.15228426395939088,0.8477157360406091,394,0.4642878341674805,0.7461075782775879,0.9060268402099609,394,-10.775734405517579,-9.762605667114258,-9.45582706451416,394,10.881899948120116,11.168765544891357,11.336141166687012,394,-0.35605400204658505,0.657107412815094,0.9589958381652832,393,7.02114958476178,8.043020291553928,8.256861652587206,393,-4.830677022899302,-2.9680222994440237,-2.37533831832594,139,7.294511911335487,7.661139013984337,8.070167483350412
10.500000000000004,10.650000000000004,10.575000000000003,379,0.40369393139841686,0.5963060686015831,379,0.29620948791503904,0.6436786651611328,0.8862719345092773,379,-15.0,-10.172779083251953,-9.545898246765137,379,10.847039489746093,11.214079856872559,11.449925727844239,379,-5.0,0.38251274824142456,1.013676495552063,379,7.909404035350674,8.26181782387754,8.360023487789315,379,-5.189804359732268,-3.743642608475134,-2.3485224506048246,154,7.319152810659547,7.625896176333102,8.062124954221552
10.650000000000004,10.800000000000004,10.725000000000005,268,0.582089552238806,0.417910447761194,268,0.21186912536621094,0.5553154945373535,0.8460425567626954,268,-15.0,-11.60706615447998,-9.925940780639648,268,10.939120025634766,11.280237674713135,11.571150283813477,268,-5.0,-0.8859029412269592,0.7775610184669495,268,8.230407909936266,8.367817305406039,8.495900157461628,268,-5.346303521687777,-4.366837419928924,-2.5197246925520287,142,7.356244342624347,7.695386372937985,8.121870782267036
