condition,n,n_geometry_features,baseline_r2,l3_plus_internal_r2,internal_marginal_r2,cached_n,cached_baseline_r2,cached_l3_plus_internal_r2,cached_internal_marginal_r2,matches_cached
weak_l1,3430,3,0.0035758857525046927,0.31188900168382394,0.30831311593131927,3430,0.0035758857525046927,0.31188900168382394,0.30831311593131927,True
full_l3,3425,13,0.1849471867271941,0.3204083520488022,0.1354611653216081,3425,0.1849471867271941,0.3204083520488022,0.1354611653216081,True
paper_peak_mass_plus_halfmass_epoch,3425,11,0.16032609635402986,0.3211295757297566,0.16080347937572673,3425,0.16032609635402986,0.3211295757297566,0.16080347937572673,True
paper_longer_lookback_accretion,3428,11,0.17005284522133018,0.31914180261862357,0.1490889573972934,3428,0.17005284522133018,0.31914180261862357,0.1490889573972934,True
paper_merger_history,3425,10,0.1826364179755658,0.31759020668727117,0.13495378871170538,3425,0.1826364179755658,0.31759020668727117,0.13495378871170538,True
