feature_family,baseline,marginal_r2,marginal_r2_ci_lo,marginal_r2_ci_hi,residual_r2,n,cached_mass_window
halo,L3,0.08262446400244086,0.03832680686242943,0.1276623335655648,0.07982289412951349,3425,9.5 <= logMstar < 10.5
halo,L3 + f_star,0.017008301302599838,-0.029503334251029044,0.06425013332080637,0.0158045337617591,3425,9.5 <= logMstar < 10.5
internal,L3,0.1354611653216081,0.09537575276811705,0.18418874575758798,0.13146269931670881,3425,9.5 <= logMstar < 10.5
internal,L3 + f_star,0.08585649659850364,0.04273356375246859,0.13315255793403988,0.08328551442360858,3425,9.5 <= logMstar < 10.5
