region,r2_gas_from_l3_plus_mstar,gas_variance,residual_gas_variance_oof,growth_baseline_r2,growth_plus_gas_r2,residual_gas_growth_marginal_r2,residual_gas_growth_ci_lo,residual_gas_growth_ci_hi
low_cleaned,0.7925700353161301,0.03485513565036822,0.00722420120448917,0.18260704538057615,0.2592608356990969,0.07665379031852076,0.061538818927515934,0.09193173127759935
original,0.8179481601467135,0.0672761857660898,0.012248331693926686,0.2893667419888432,0.3282847105158835,0.03891796852704027,0.028842632372299032,0.0485214792885153
upper_transition,0.5503481622710943,0.10224490067688168,0.046765093139545466,0.1521026751150244,0.180373855453738,0.028271180338713592,-0.003717965212976573,0.053625043131034444
high,0.6924161565489795,0.10763973441622905,0.03103002211774253,0.07831031873893265,0.09149049866532111,0.013180179926388452,-0.016641532085825965,0.030557101102564103
