suite,quantity,log_mstar_lo,log_mstar_hi,log_mstar_center,n,p16,median,p84
TNG,log_gas_fraction,9.0,9.15,9.075,987,1.1138439559936524,1.272233009338379,1.4344887161254882
TNG,log_ssfr,9.0,9.15,9.075,987,-9.740097160339355,-9.520759582519531,-9.302080268859862
TNG,log_gas_fraction,9.15,9.3,9.225000000000001,875,1.0432786560058593,1.1987104415893555,1.3751858901977538
TNG,log_ssfr,9.15,9.3,9.225000000000001,875,-9.764470863342286,-9.543317794799805,-9.289396629333496
TNG,log_gas_fraction,9.3,9.450000000000001,9.375,787,0.9845272827148438,1.1407318115234375,1.2902077484130858
TNG,log_ssfr,9.3,9.450000000000001,9.375,787,-9.763473434448242,-9.543736457824707,-9.298028297424317
TNG,log_gas_fraction,9.450000000000001,9.600000000000001,9.525000000000002,720,0.9360071182250976,1.0901284217834473,1.2360333251953124
TNG,log_ssfr,9.450000000000001,9.600000000000001,9.525000000000002,720,-9.787964286804199,-9.573737621307373,-9.326060905456544
TNG,log_gas_fraction,9.600000000000001,9.750000000000002,9.675,672,0.8750352478027343,1.0240716934204102,1.1879082107543946
TNG,log_ssfr,9.600000000000001,9.750000000000002,9.675,672,-9.798261375427247,-9.580058574676514,-9.34817440032959
TNG,log_gas_fraction,9.750000000000002,9.900000000000002,9.825000000000003,566,0.7892797470092774,0.9552979469299316,1.1291963577270507
TNG,log_ssfr,9.750000000000002,9.900000000000002,9.825000000000003,566,-9.83183307647705,-9.592389106750488,-9.346473121643067
TNG,log_gas_fraction,9.900000000000002,10.050000000000002,9.975000000000001,488,0.7095008850097656,0.8959870338439941,1.0744964218139648
TNG,log_ssfr,9.900000000000002,10.050000000000002,9.975000000000001,488,-9.846850852966309,-9.618176460266113,-9.38796443939209
TNG,log_gas_fraction,10.050000000000002,10.200000000000003,10.125000000000004,479,0.6505934906005859,0.8655366897583008,1.056946907043457
TNG,log_ssfr,10.050000000000002,10.200000000000003,10.125000000000004,479,-9.897220649719237,-9.62695598602295,-9.370958938598633
TNG,log_gas_fraction,10.200000000000003,10.350000000000003,10.275000000000002,364,0.5972499847412109,0.7928295135498047,1.0008699798583984
TNG,log_ssfr,10.200000000000003,10.350000000000003,10.275000000000002,364,-9.956167030334473,-9.67835807800293,-9.380193214416504
TNG,log_gas_fraction,10.350000000000003,10.500000000000004,10.425000000000004,394,0.4642878341674805,0.7461075782775879,0.9060268402099609
TNG,log_ssfr,10.350000000000003,10.500000000000004,10.425000000000004,394,-10.775734405517579,-9.762605667114258,-9.45582706451416
TNG,log_gas_fraction,10.500000000000004,10.650000000000004,10.575000000000003,379,0.29620948791503904,0.6436786651611328,0.8862719345092773
