suite,region,log_mstar_lo,log_mstar_hi,n,central_fraction,satellite_fraction,median_log_mhalo,p16_log_mhalo,p84_log_mhalo,median_env_log_rho_local,quenched_fraction,star_forming_fraction,median_log_gas_fraction,median_log_ssfr,median_log_bh_mass,median_log_bh_mdot
TNG,below_lower,9.0,9.55,3140,1.0,0.0,11.459164,11.313342361450195,11.611969528198243,0.2845129847994843,0.0025477707006369425,0.9974522292993631,1.1877508,-9.541446,6.238602051108201,-5.172755241567414
TNG,onset_band,9.55,9.85,1290,1.0,0.0,11.689158,11.564939308166505,11.824940719604491,0.28583212650762596,0.0,1.0,1.0180674,-9.586456,6.503701035560904,-4.468744184982988
TNG,main_window,9.85,10.55,2051,1.0,0.0,11.98692,11.7911376953125,12.216497421264648,0.2983817363236826,0.057532910775231594,0.9424670892247684,0.833169,-9.667002,7.322250230158582,-3.5044124196644098
TNG,above_upper,10.55,10.75,418,1.0,0.0,12.372479,12.234870796203614,12.541433868408204,0.30850966948004954,0.49760765550239233,0.5023923444976077,0.607111,-10.961439,8.317083799893243,-4.176258770510302
SIMBA,below_lower,9.0,9.55,1520,1.0,0.0,11.414131,11.270773124694824,11.57734073638916,0.1749959129429473,0.001973684210526316,0.9980263157894737,1.1644421,-9.315445,6.505337202937453,-3.749483646658102
SIMBA,onset_band,9.55,9.85,758,1.0,0.0,11.629488,11.505039749145508,11.783911247253418,0.18307029109659734,0.0013192612137203166,0.9986807387862797,0.97250605,-9.354264,6.419182880597948,-3.3055900440886403
SIMBA,main_window,9.85,10.55,1214,1.0,0.0,11.933157,11.741700210571288,12.12300895690918,0.186626134521364,0.05601317957166392,0.943986820428336,0.6586995,-9.558265,7.4207565098416115,-3.0489303078911174
SIMBA,above_upper,10.55,10.75,241,1.0,0.0,12.235943,12.086750984191895,12.439167404174805,0.18879869036689897,0.12863070539419086,0.8713692946058091,0.20612812,-9.90603,7.959487233112474,-2.7739239325584886
