matcher,region,n,eligible,balanced,insufficient_overlap,n_treated,n_control,n_pairs_kept,caliper_logit,gas_diff_mean,att_growth,att_ci_lo,att_ci_hi,max_abs_smd_before,max_abs_smd_after,mean_abs_smd_after,k_coarsen,n_bins,borderline
propensity,low_cleaned,3126,True,False,False,1563,1563,1068,0.07519159872294899,0.15854963738373604,0.14167377832677033,0.1255465478932813,0.15959299773759164,2.0258407280711532,0.27454145172951455,0.11747399061644805,,,
cem,low_cleaned,3126,True,False,False,1563,1563,401,,0.14483790980312888,0.137833271835213,0.10469153081984293,0.172473918410608,,0.1393222005909844,,3.0,6.0,True
propensity,original,3336,True,False,False,1668,1668,1377,0.0820760406483212,0.3597482786545653,0.20219401579104046,0.18552392218194322,0.21969064320873852,2.1530053911329956,0.6600610778678699,0.33830999024243835,,,
cem,original,3336,True,False,False,1668,1668,290,,0.2289484583098313,0.12539556437525257,0.09595084856296408,0.1554460077450193,,0.5457676312189991,,3.0,6.0,False
propensity,upper_transition,418,True,False,False,209,209,115,0.05085266720376983,0.35494323398755945,0.0705527512923531,0.029030529312465504,0.11210800668467645,1.4008528601534407,0.2793793408887781,0.13751234032815293,,,
cem,upper_transition,418,True,False,False,209,209,73,,0.3591640942717252,0.055916067672102415,0.01916737295176885,0.09232958702191914,,0.41055604280178093,,3.0,6.0,False
propensity,high,357,True,False,False,179,178,81,0.054754698219712905,0.26230093873577354,0.023262636161144868,-0.045002766597418135,0.07996668639006438,1.6115200713501867,0.33988997667158566,0.13352583736634857,,,
cem,high,357,True,False,False,179,178,52,,0.289923411149245,0.029486399430495042,-0.0767797589302063,0.11748741223261906,,0.451377819996816,,3.0,6.0,False
