model,n,r2_l3,r2_l3_plus_internal,internal_marginal_r2,internal_marginal_ci_lo,internal_marginal_ci_hi,r2_l3_bootstrap_mean,r2_l3_plus_internal_bootstrap_mean
ridge,3336,0.18911687541076383,0.3282905396712369,0.13917366426047306,0.11936487587832242,0.15266556766011888,0.1908516417233658,0.32822739700210385
random_forest,3336,0.21536819713966904,0.3349882191902176,0.11962002205054856,0.10190040036072964,0.1316687405804657,0.21633082665502362,0.3367665064732768
hist_gradient_boosting,3336,0.21858194079430393,0.3377168392466098,0.11913489845230585,0.10044720922467702,0.1345285404320642,0.21963933380946543,0.3390762208115679
