window,family,n,cv_r2,ci_lo,ci_hi
whole_sample,L1_static,7360,0.024828132581529404,0.017828253016100307,0.035692575390467295
whole_sample,internal,7360,0.006640304521468354,0.0033254013684268433,0.01049952172501423
whole_sample,halo_L3,7347,0.029057742361829165,0.020309151306328297,0.03977541663980387
whole_sample,environment,7360,0.007827111770633022,0.004092466083855545,0.01463316002681373
intermediate_9.55_10.55,L1_static,3341,0.012716970273299011,0.004029137337637831,0.025362437043064453
intermediate_9.55_10.55,internal,3341,0.008597535318861116,0.0030050328140741396,0.022017246679733343
intermediate_9.55_10.55,halo_L3,3336,0.016387013725937337,0.009025513283104258,0.03465274292601574
intermediate_9.55_10.55,environment,3341,0.0003250617794012367,-0.003807915983986339,0.009625569846425581
