region,log_mstar_lo,log_mstar_hi,n,resolution_snr_note,log_gas_fraction_n,log_gas_fraction_median,log_gas_fraction_ci_lo,log_gas_fraction_ci_hi,log_ssfr_n,log_ssfr_median,log_ssfr_ci_lo,log_ssfr_ci_hi,log_mgas_n,log_mgas_median,log_mgas_ci_lo,log_mgas_ci_hi,log_sfr_n,log_sfr_median,log_sfr_ci_lo,log_sfr_ci_hi,log_bh_mass_n,log_bh_mass_median,log_bh_mass_ci_lo,log_bh_mass_ci_hi,log_bh_mdot_n,log_bh_mdot_median,log_bh_mdot_ci_lo,log_bh_mdot_ci_hi,quenched_fraction,quenched_fraction_ci_lo,quenched_fraction_ci_hi
below_lower,9.0,9.55,1520,,1520,1.1644420623779297,1.1475913286209107,1.1773805618286133,1520,-9.315444946289062,-9.327668726444244,-9.304784774780273,1520,10.414489269256592,10.396641731262207,10.429294061660766,1520,-0.0659298226237297,-0.08317696265876293,-0.04629288157448173,6,6.505337202937453,5.930708301420474,6.598177615747853,6,-3.749483646658102,-4.138604881359885,-3.023354233011771,0.001973684210526316,0.0,0.004605263157894736
window,9.55,10.55,1972,,1972,0.8102669715881348,0.7939047813415527,0.8248762726783753,1972,-9.462038516998291,-9.481195449829102,-9.445919513702393,1972,10.73905086517334,10.724543535709381,10.75139262676239,1972,0.43763262033462524,0.4198000431060791,0.45164182782173157,1668,7.211398303502044,7.178200042119727,7.255688370847118,1657,-3.1502456672437606,-3.1723044597091152,-3.123421932281673,0.03498985801217039,0.026863590263691683,0.04259634888438134
upper_extension,10.55,10.75,241,sample-size decline,241,0.20612812042236328,0.16711807250976562,0.25336456298828125,241,-9.90602970123291,-9.973706245422363,-9.841225624084473,241,10.842992782592773,10.799449920654297,10.893834114074707,241,0.72198486328125,0.6528493762016296,0.8259198665618896,240,7.959487233112474,7.933082324722281,8.008796143873084,229,-2.7739239325584886,-2.862404853985697,-2.7193615412518097,0.12863070539419086,0.08713692946058091,0.17427385892116182
above_upper,10.75,11.2,348,sample-size decline,348,0.09458351135253906,0.05692768096923828,0.1300331711769104,348,-10.277695655822754,-10.37966537475586,-10.219877791404723,348,11.033409118652344,10.986557495594024,11.0806370139122,348,0.6612793207168579,0.5808093249797821,0.7288773655891418,346,8.278637491025833,8.254023900940842,8.30930603543056,313,-2.871272341313115,-2.9522751486685896,-2.786072064075888,0.21264367816091953,0.1724137931034483,0.2557471264367816
