log_mstar_lo,log_mstar_hi,log_mstar_center,n,quenched_fraction,star_forming_fraction,log_gas_fraction_n,log_gas_fraction_p16,log_gas_fraction_median,log_gas_fraction_p84,log_ssfr_n,log_ssfr_p16,log_ssfr_median,log_ssfr_p84,log_mgas_n,log_mgas_p16,log_mgas_median,log_mgas_p84,log_sfr_n,log_sfr_p16,log_sfr_median,log_sfr_p84,log_bh_mass_n,log_bh_mass_p16,log_bh_mass_median,log_bh_mass_p84,log_bh_mdot_n,log_bh_mdot_p16,log_bh_mdot_median,log_bh_mdot_p84,log_wind_mass_n,log_wind_mass_p16,log_wind_mass_median,log_wind_mass_p84
9.0,9.15,9.075,485,0.002061855670103093,0.9979381443298969,485,1.0016590499877929,1.2306156158447266,1.4177106094360352,485,-9.605749130249023,-9.361680030822754,-9.136882286071778,485,10.075453491210938,10.29332160949707,10.476361770629882,485,-0.5400968384742737,-0.29062405228614807,-0.05559301346540449,1,6.4480787914026845,6.4480787914026845,6.4480787914026845,1,-4.217065580303324,-4.217065580303324,-4.217065580303324,0,,,
9.15,9.3,9.225000000000001,429,0.002331002331002331,0.9976689976689976,429,0.9592183303833007,1.1687688827514648,1.3508688354492187,429,-9.557471122741699,-9.318221092224121,-9.123161964416504,429,10.187802772521973,10.402456283569336,10.583609924316406,429,-0.33730316400527954,-0.10273479670286179,0.1017615890502928,2,6.566441920626428,6.574615321204115,6.582788721781802,2,-3.9995876302795077,-3.8709049569885163,-3.7422222836975254,0,,,
9.3,9.450000000000001,9.375,385,0.0025974025974025974,0.9974025974025974,385,0.9195860290527343,1.137582778930664,1.3469516372680663,385,-9.485889739990235,-9.288026809692383,-9.100801544189453,385,10.302999954223633,10.508451461791992,10.723053245544433,385,-0.11427013695240021,0.0861460417509079,0.27331279873847963,0,,,,0,,,,0,,,
9.450000000000001,9.600000000000001,9.525000000000002,355,0.0,1.0,355,0.8646569442749024,1.0553922653198242,1.2345962524414062,355,-9.480580177307129,-9.27983570098877,-9.075020904541015,355,10.388085441589356,10.58105754852295,10.75862548828125,355,0.036972469538450244,0.23806869983673096,0.47726698994636535,3,5.898580064209197,6.019953404785131,6.420994827951837,3,-3.640842672415833,-3.2658675325687954,-2.9360494451712422,0,,,
9.600000000000001,9.750000000000002,9.675,362,0.0027624309392265192,0.9972375690607734,362,0.7325370025634765,0.9675993919372559,1.1852670288085938,362,-9.53704402923584,-9.329431056976318,-9.121539764404297,362,10.40182415008545,10.647623538970947,10.845813026428223,362,0.1542431569099426,0.3459049165248871,0.5396161293983459,201,5.48315857421854,6.050282511623618,6.406974380384352,199,-3.6329446018732208,-3.3243651441653213,-3.1370931993973374,0,,,
9.750000000000002,9.900000000000002,9.825000000000003,388,0.002577319587628866,0.9974226804123711,388,0.6913634872436524,0.9289798736572266,1.107073097229004,388,-9.752551002502441,-9.454401016235352,-9.231216430664062,388,10.505903930664063,10.75099515914917,10.926263389587403,388,0.06685810983181,0.3609982132911682,0.6033403444290161,384,6.408888238546401,6.761570123807475,7.057493992715687,384,-3.563943465114855,-3.244264882320483,-2.983617746560468,0,,,
9.900000000000002,10.050000000000002,9.975000000000001,267,0.0,1.0,267,0.6170874404907226,0.8381175994873047,1.0542352676391602,267,-9.75722843170166,-9.496448516845703,-9.189865760803222,267,10.593369789123535,10.819222450256348,11.011654930114746,267,0.21299199879169464,0.48432445526123047,0.7716403412818909,266,6.866898736179886,7.156445011222626,7.353393066791077,266,-3.514771738832939,-3.165885759682653,-2.83862227730054,0,,,
10.050000000000002,10.200000000000003,10.125000000000004,237,0.07172995780590717,0.9282700421940928,237,0.2466703414916992,0.7300453186035156,0.9656148147583006,237,-9.907298355102538,-9.477319717407227,-9.16175594329834,237,10.387429466247559,10.856857299804688,11.100475273132325,237,0.24735844373702998,0.6419157981872559,0.9572055959701538,236,7.06348214109232,7.378395024342769,7.677459967959418,234,-3.4352805770756882,-3.0366472537585,-2.7495488910419246,0,,,
10.200000000000003,10.350000000000003,10.275000000000002,261,0.07662835249042145,0.9233716475095786,261,0.11954402923583986,0.5397090911865234,0.8604888916015625,261,-10.289380264282226,-9.552733421325684,-9.166262435913087,261,10.365141868591309,10.826430320739746,11.134943389892578,261,-0.04235720112919806,0.6991756558418274,1.0981202840805053,258,7.314638219570517,7.57805137530217,7.834709966190535,254,-3.4249536077903837,-2.9743929542047605,-2.5862702628666776,0,,,
10.350000000000003,10.500000000000004,10.425000000000004,249,0.08032128514056225,0.9196787148594378,249,-0.0348944091796875,0.2888021469116211,0.6370113754272461,249,-10.651018486022949,-9.86552906036377,-9.374497451782227,249,10.409957962036133,10.699049949645996,11.057226028442383,249,-0.20346877396106722,0.5646375417709351,1.0667669105529785,249,7.5025668666862835,7.765187154098825,8.007372339687327,246,-3.537601797785603,-2.9633835208698325,-2.5074509429836755,0,,,
10.500000000000004,10.650000000000004,10.575000000000003,211,0.13270142180094788,0.8672985781990521,211,-0.06750640869140623,0.24526691436767578,0.5328777313232422,211,-10.791118621826172,-9.919784545898438,-9.433686828613281,211,10.492961502075195,10.816451072692871,11.113843727111817,211,-0.20506696701049804,0.663899302482605,1.1397713422775269,210,7.609244112532141,7.903447359690446,8.146677671197203,204,-3.3933812379044896,-2.826251545555054,-2.4374821898230614,0,,,
10.650000000000004,10.800000000000004,10.725000000000005,158,0.13924050632911392,0.8607594936708861,158,-0.08095481872558592,0.1501755714416504,0.4260072708129883,158,-10.845292663574218,-9.969871997833252,-9.627117347717284,158,10.629097480773925,10.89706039428711,11.186808166503907,158,-0.11497998923063278,0.7660597562789917,1.0734510374069213,158,7.863945889275549,8.053670536203699,8.264079852552225,151,-3.3928680797973416,-2.755229449325508,-2.382705019837011,0,,,
10.800000000000004,10.950000000000005,10.875000000000004,142,0.14084507042253522,0.8591549295774648,142,-0.23014549255371095,0.1463336944580078,0.35428974151611325,142,-10.771411170959473,-10.12422513961792,-9.718565635681152,142,10.65209888458252,10.992648601531982,11.226049003601075,142,0.09557829231023787,0.7421354353427887,1.1618310499191284,141,8.028066947605348,8.191599334001852,8.438829335951448,136,-3.5591223003872687,-2.758494375781948,-2.365579502569667,0,,,
10.950000000000005,11.100000000000005,11.025000000000006,100,0.24,0.76,100,-0.18635643005371094,0.042037010192871094,0.35066017150878903,100,-13.11524299621582,-10.373359203338623,-9.977310523986816,100,10.782438125610351,11.044025421142578,11.370235290527344,100,-2.109845781326294,0.6793018281459808,1.0472665548324585,100,8.200787050798644,8.368456645204141,8.597771136189378,87,-3.70964251843336,-3.031469956854868,-2.3110720520480603,0,,,
11.100000000000005,11.250000000000005,11.175000000000004,76,0.42105263157894735,0.5789473684210527,76,-0.28039073944091797,0.09713125228881836,0.3521270751953125,76,-15.0,-10.849470138549805,-10.145036697387695,76,10.880261421203613,11.237040519714355,11.499947547912598,76,-5.0,0.29645824432373047,0.981302797794342,75,8.355523634883303,8.517075588477299,8.748747847304204,53,-3.7448520917668193,-3.074013903297054,-2.4182382772804334,0,,,
11.250000000000005,11.400000000000006,11.325000000000006,38,0.5526315789473685,0.4473684210526315,38,-0.25172832489013675,0.035022735595703125,0.3826737594604491,38,-15.0,-11.693500518798828,-10.156781120300293,38,11.095726776123048,11.366103649139404,11.762409210205078,38,-5.0,-0.3734232932329178,1.1241323900222777,38,8.49526831291103,8.744159838582437,8.932981732256675,23,-3.549281707043831,-3.0355890367316554,-2.3434548983868035,0,,,
11.400000000000006,11.550000000000006,11.475000000000005,27,0.7407407407407407,0.2592592592592593,27,-0.3759579086303711,0.10951042175292969,0.4659573745727539,27,-15.0,-13.180371284484863,-10.685821914672852,27,11.102242317199707,11.558813095092773,11.959345779418946,27,-5.0,-1.6643390655517578,0.8149200868606568,25,8.625117749089911,8.845723119331018,9.013858343085456,14,-4.376453236702898,-3.501469835148976,-2.866225845675086,0,,,
11.550000000000006,11.700000000000006,11.625000000000007,17,0.7058823529411765,0.2941176470588235,17,0.1606014633178711,0.5672664642333984,0.677570571899414,17,-15.0,-15.0,-10.54898006439209,17,11.777190666198731,12.190224647521973,12.280756072998047,17,-5.0,-5.0,1.0845540904998778,17,8.833445220949429,9.0411138620724,9.254311201645345,13,-5.211985381660466,-3.0906888556990935,-1.5278577154416564,0,,,
