region,log_mstar_lo,log_mstar_hi,n,target_growth_mean,target_growth_variance,l3_baseline_r2,internal_marginal_r2,l3_plus_all_available_r2,all_available_marginal_r2
below_lower,9.0,9.55,3132,0.40057727751603983,0.06606794703461266,0.15106631222454148,-0.05464590437041912,0.14836144499261472,-0.0027048672319267553
onset,9.55,9.85,1289,0.3635762039314785,0.052322452028234365,0.20817948373040984,0.09013742480889009,0.307123739704369,0.09894425597395917
core,9.85,10.55,2047,0.25498910828456683,0.0473103260135534,0.1547775542374531,0.16227669762576002,0.33801118036003197,0.18323362612257887
