record_type,region,log_mstar_lo,log_mstar_hi,cleaning,n,raw_corr_gas_growth,status,model,cv_r2,contrast,baseline_r2,plus_r2,marginal_r2,marginal_ci_lo,marginal_ci_hi
marginal,original,9.55,10.55,none,3336,,,,,ssfr|L3+gas_fraction,0.3265585017315843,0.3282354743140118,0.001676972582427494,2.137517061925471e-05,0.005288971347608847
marginal,original,9.55,10.55,none,3336,,,,,gas_mass|L3+internal_excl_gas,0.30925775766431085,0.32976674723793986,0.02050898957362901,0.013149038505036686,0.031162444121791325
marginal,original,9.55,10.55,none,3336,,,,,sfr_ssfr|L3+internal_excl_sfrssfr,0.33005502490006566,0.3297667472379399,-0.00028827766212574657,-0.0009089068481760706,0.004126119018102624
region_summary,upper_transition,10.55,10.75,none,418,0.3703600296101323,ambiguous,,,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3,0.15126632416927327,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+gas_mass,0.16731221615718642,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+gas_fraction,0.17598533340221104,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+sfr,0.17281875336664565,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+ssfr,0.1709532160386704,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+gas_mass+sfr,0.17384809131899753,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+gas_fraction+ssfr,0.18014920748362645,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+all_internal,0.17552683031480984,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+internal_excl_gas,0.17866409951358084,,,,,,
model_r2,upper_transition,10.55,10.75,none,418,,,L3+internal_excl_sfrssfr,0.16985189464941294,,,,,,
marginal,upper_transition,10.55,10.75,none,418,,,,,gas_mass|L3,0.15126632416927327,0.16731221615718642,0.016045891987913147,0.002753516096943698,0.049556008955218646
marginal,upper_transition,10.55,10.75,none,418,,,,,gas_fraction|L3,0.15126632416927327,0.17598533340221104,0.024719009232937766,-0.004369444987222062,0.06474979973118353
marginal,upper_transition,10.55,10.75,none,418,,,,,sfr|L3,0.15126632416927327,0.17281875336664565,0.02155242919737238,0.0020258654417613714,0.05169617084728178
marginal,upper_transition,10.55,10.75,none,418,,,,,ssfr|L3,0.15126632416927327,0.1709532160386704,0.019686891869397122,-0.00177917222912079,0.048691784573660135
marginal,upper_transition,10.55,10.75,none,418,,,,,gas_mass|L3+sfr,0.17281875336664565,0.17384809131899748,0.0010293379523518276,-0.017546279771527604,0.02426915194710053
marginal,upper_transition,10.55,10.75,none,418,,,,,gas_fraction|L3+ssfr,0.1709532160386704,0.18014920748362653,0.009195991444956142,-0.013614232164670864,0.02055983418372192
marginal,upper_transition,10.55,10.75,none,418,,,,,gas_mass|L3+mstar+sfr+ssfr,0.17989460786083572,0.19055933150939644,0.01066472364856072,-0.010546910580334027,0.01655306123524669
marginal,upper_transition,10.55,10.75,none,418,,,,,gas_fraction|L3+ssfr+mstar,0.18086152055857507,0.18257867513362144,0.0017171545750463701,-0.015465929647957254,0.012541422581557913
marginal,upper_transition,10.55,10.75,none,418,,,,,sfr|L3+gas_mass,0.16731221615718642,0.17384809131899753,0.006535875161811117,-0.013148928529323154,0.026343644329240672
marginal,upper_transition,10.55,10.75,none,418,,,,,ssfr|L3+gas_fraction,0.17598533340221104,0.18014920748362645,0.004163874081415414,-0.008174376778606706,0.019841462547200202
marginal,upper_transition,10.55,10.75,none,418,,,,,gas_mass|L3+internal_excl_gas,0.17866409951358084,0.17552683031480984,-0.0031372691987709977,-0.01733560981892584,0.010080893404355001
marginal,upper_transition,10.55,10.75,none,418,,,,,sfr_ssfr|L3+internal_excl_sfrssfr,0.16985189464941294,0.1755268303148099,0.005674935665396952,-0.03136434790624971,0.026761611094661495
region_summary,high,10.75,11.2,none,357,0.2500828817858907,ambiguous,,,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3,0.08552392930863753,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+gas_mass,0.08995372091982519,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+gas_fraction,0.09361469944283193,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+sfr,0.0856749917989252,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+ssfr,0.08521387915993002,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+gas_mass+sfr,0.08700846183357498,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+gas_fraction+ssfr,0.0887690741997083,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+all_internal,0.09728702248992498,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+internal_excl_gas,0.08819266412044928,,,,,,
model_r2,high,10.75,11.2,none,357,,,L3+internal_excl_sfrssfr,0.09252007374279132,,,,,,
marginal,high,10.75,11.2,none,357,,,,,gas_mass|L3,0.08552392930863753,0.08995372091982519,0.004429791611187658,-0.022826257963497847,0.027288097403385458
marginal,high,10.75,11.2,none,357,,,,,gas_fraction|L3,0.08552392930863753,0.09361469944283193,0.008090770134194403,-0.005596931148382283,0.04892980153121725
marginal,high,10.75,11.2,none,357,,,,,sfr|L3,0.08552392930863753,0.0856749917989252,0.00015106249028766505,-0.01821417034509687,0.02172613314110553
marginal,high,10.75,11.2,none,357,,,,,ssfr|L3,0.08552392930863753,0.08521387915993002,-0.0003100501487075108,-0.021482691214513135,0.015245803166696907
marginal,high,10.75,11.2,none,357,,,,,gas_mass|L3+sfr,0.0856749917989252,0.08700846183357505,0.0013334700346498557,-0.03193492396700468,0.03263898902832413
marginal,high,10.75,11.2,none,357,,,,,gas_fraction|L3+ssfr,0.08521387915993002,0.08876907419970834,0.0035551950397783166,-0.017336513399933952,0.03941562120269254
marginal,high,10.75,11.2,none,357,,,,,gas_mass|L3+mstar+sfr+ssfr,0.07670053396049888,0.08734825934192307,0.010647725381424195,-0.017592561895530334,0.017396817671075464
marginal,high,10.75,11.2,none,357,,,,,gas_fraction|L3+ssfr+mstar,0.08660887862334506,0.0880009163305882,0.0013920377072431378,-0.023307424314851624,0.04345993442708992
marginal,high,10.75,11.2,none,357,,,,,sfr|L3+gas_mass,0.08995372091982519,0.08700846183357498,-0.002945259086250207,-0.02692397697055442,0.017140558383136856
marginal,high,10.75,11.2,none,357,,,,,ssfr|L3+gas_fraction,0.09361469944283193,0.0887690741997083,-0.0048456252431236385,-0.032553801222018404,0.021830361635122038
marginal,high,10.75,11.2,none,357,,,,,gas_mass|L3+internal_excl_gas,0.08819266412044928,0.09728702248992496,0.009094358369475683,-0.024949835363484912,0.023101837504300476
marginal,high,10.75,11.2,none,357,,,,,sfr_ssfr|L3+internal_excl_sfrssfr,0.09252007374279132,0.09728702248992491,0.004766948747133584,-0.03078675596881175,0.025088764909402806
